Feature,Importance
getInstallerPackageName,0.07959473
setInTouchMode,0.07324094
flock,0.04961492
isAdminActive,0.048280284
getReceiverInfo,0.045384068
getEnabledInputMethodList,0.02363145
getVoiceMailNumber,0.02161457
statfs64,0.016112087
access,0.014743401
isSpeakerphoneOn,0.014699658
_newselect,0.014541088
setComponentEnabledSetting,0.013200577
resolveIntent,0.012093953
setStreamMute,0.01089184
NETWORK_ACCESS____,0.009696376
registerContentObserver,0.008517869
getMode,0.008388764
FS_ACCESS(CREATE__READ__WRITE),0.008327312
startScan,0.008211404
getActivePhoneType,0.0081540095
getDisplayInfo,0.008017438
sendmsg,0.0076861177
pread64,0.007624747
isScreenOn,0.00731904
getProviders,0.0069407774
setWifiEnabled,0.006930149
getDeviceId,0.006790941
getSubscriberId,0.006603016
getStreamMaxVolume,0.0065687965
fchmod,0.006516751
getFromLocation,0.00632126
relayout,0.006320128
getDeviceSvn,0.006251549
FS_PIPE_ACCESS(WRITE)___,0.006206075
addAccessibilityInteractionConnection,0.0057491064
getInstalledPackages,0.005738065
getNightMode,0.0054622386
readlink,0.00518062
getAccountsAsUser,0.005144041
getEnabledAccessibilityServiceList,0.0050678654
EXECUTE_____,0.005038756
lstat64,0.004850691
startInput,0.004762436
sendAccessibilityEvent,0.004474829
NETWORK_ACCESS()____,0.0043511237
getDisplayIds,0.004251051
queryIntentServices,0.004197586
getMobileDataEnabled,0.004157465
read,0.00412958
ugetrlimit,0.004040642
sendto,0.0039121686
notifyChange,0.0038334453
setStreamVolume,0.0037584763
getScanResults,0.0037464513
enqueueNotificationWithTag,0.0037437128
TERMINATE_THREAD,0.0035349191
getCurrentSpellCheckerSubtype,0.0034499066
isCameraSoundForced,0.0034431259
CREATE_FOLDER_____,0.0034148176
epoll_ctl,0.003390631
sched_getparam,0.0033622303
ACCESS_PERSONAL_INFO___,0.0032989185
resolveContentProvider,0.0032388598
_llseek,0.0032357613
hideSoftInput,0.003090677
removeAccessibilityInteractionConnection,0.0030736688
getIccSerialNumber,0.003039045
getWifiServiceMessenger,0.0030256994
execve,0.0030125382
FS_ACCESS(CREATE__WRITE__APPEND),0.0030059728
stat64,0.0029597308
getWifiEnabledState,0.0029545904
openSession,0.0029448238
SMS_SEND____,0.002937932
exit,0.002835178
getpgid,0.0027883858
ftruncate64,0.002780287
setRingerMode,0.0027335812
FS_PIPE_ACCESS___,0.0027145674
open,0.0026470562
mkdir,0.0026219324
cancelAllNotifications,0.0026074075
pipe,0.002603051
getSpellCheckerService,0.0025864027
ptrace,0.0025856672
getApplicationInfo,0.002574964
chdir,0.0025718682
send,0.0025610493
getCameraInfo,0.0025375818
dup2,0.0025042892
set,0.0024947678
sigaltstack,0.00249293
__arm_nr_set_tls,0.0024835502
releaseWifiLock,0.0024261377
FS_ACCESS(CREATE__WRITE)__,0.002423501
lseek,0.0024138782
addToDisplay,0.0023781892
getDisplayFrame,0.0023733967
unlink,0.0023497725
sigprocmask,0.002349685
sendText,0.0023455475
getAnimationScale,0.0023087782
getRingerMode,0.0022781538
hasNavigationBar,0.0022463321
getdents64,0.0022283888
getAccounts,0.0022274393
getLine1Number,0.0022226165
getActivityInfo,0.002212182
ftruncate,0.002196733
getInTouchMode,0.0021778848
inotify_add_watch,0.00217217
gettimeofday,0.0021182839
mprotect,0.0021074233
rename,0.002096999
reenableKeyguard,0.0020866357
NETWORK_ACCESS(WRITE)____,0.0020697878
getAllNetworkInfo,0.0020565093
performDeferredDestroy,0.0020439457
getCallState,0.0020408828
munmap,0.001961254
msync,0.0019217811
socketpair,0.0019206897
FS_ACCESS(CREATE__READ)__,0.0018889493
sched_get_priority_max,0.001884806
onRectangleOnScreenRequested,0.001874181
setTextBeforeCursor,0.0018388584
releaseWakeLock,0.0018233584
sched_get_priority_min,0.0018189581
FS_PIPE_ACCESS(READ__WRITE)_,0.0017976507
fsync,0.0017462681
getProviderInfo,0.001745487
epoll_create,0.0017400314
fstat64,0.0016998801
FS_PIPE_ACCESS(READ__)_,0.0016907444
getInputDevice,0.0016652414
shutdown,0.0016553818
enqueueToast,0.0016435185
setTextAfterCursor,0.001641289
disconnect,0.001638302
getPackageInfo,0.0016361325
addToDisplayWithoutInputChannel,0.0016347263
getServiceInfo,0.0016093373
chmod,0.0016084961
rmdir,0.0016039892
FS_ACCESS(CREATE__APPEND)__,0.001603501
FS_PIPE_ACCESS(READ)___,0.0015871922
setTransparentRegion,0.0015630729
windowGainedFocus,0.0015605123
getComponentEnabledSetting,0.0015373353
dup,0.0015341245
getNetworkInfo,0.0015248576
fdatasync,0.0015183705
getActiveNetworkInfo,0.0015152338
getpid,0.0015075612
setpgid,0.0014921544
setsockopt,0.0014914281
getNumberOfCameras,0.0014892886
getAllProviders,0.0014745275
isProviderEnabled,0.0014720056
FS_ACCESS(CREATE)____,0.0014633212
queryIntentActivities,0.0014628842
close,0.0014328279
finishInput,0.001414881
getConnectionInfo,0.00137501
getBestProvider,0.0013712444
ANTI_DEBUG_____,0.0013694731
FS_ACCESS()____,0.0013690946
socket,0.0013581334
connect,0.0013438789
getCellLocation,0.0013332195
checkPermission,0.0013187487
getInstalledApplications,0.001313183
getLastLocation,0.0012735517
sched_getscheduler,0.0012577968
writev,0.0012200696
updateSelection,0.0012189461
cancelNotificationWithTag,0.001212385
getDataNetworkType,0.0012075773
requestLocationUpdates,0.0012011075
addClient,0.0011928031
getInputDeviceIds,0.0011841782
getDataState,0.0011680697
FS_ACCESS(READ)____,0.0011648879
recvmsg,0.0011436705
unregisterContentObserver,0.0011427365
registerInputDevicesChangedListener,0.0011355521
CREATE_THREAD_____,0.0011096757
clone,0.001100252
getStreamVolume,0.0010865678
bind,0.0010749496
recvfrom,0.0010615507
remove,0.0010611331
hasSystemFeature,0.0010594135
DEVICE_ACCESS_____,0.0010412737
checkOperation,0.0010269594
FS_ACCESS____,0.0010017562
fchown32,0.0009972854
inotify_init,0.0009823053
mmap2,0.0009809909
isSpellCheckerEnabled,0.0009785321
getuid32,0.0009264631
madvise,0.0009189203
gettid,0.00091647985
wait4,0.0009163023
getppid,0.0009076897
fcntl64,0.0009055788
getApplicationRestrictions,0.0009051822
epoll_wait,0.0009048753
NETWORK_ACCESS(READ__WRITE)__,0.0009012144
CREATE_PROCESS`_____,0.00089861196
__arm_nr_cacheflush,0.00089371816
getsockname,0.0008682377
listen,0.00086783874
brk,0.0008617104
setpriority,0.000846451
poll,0.0008456109
getsockopt,0.00081934046
uname,0.00077505986
write,0.0007665059
clock_gettime,0.00076290505
prctl,0.0007321469
TERMINATE_PROCESS,0.0007226345
accept,0.00071413984
pwrite64,0.00070747157
FS_ACCESS(WRITE)____,0.0006977934
NETWORK_ACCESS(WRITE__)__,0.00068469543
getPermissionInfo,0.0006671417
exit_group,0.0006627048
sigaction,0.0006617496
locationCallbackFinished,0.00065556285
finishDrawing,0.00064615236
nanosleep,0.0006250606
watchRotation,0.0006218665
utimes,0.00060459523
getpriority,0.0005934485
getCurrentSpellChecker,0.0005605666
mremap,0.00054775877
checkSignatures,0.0005411747
ioctl,0.0005397972
inKeyguardRestrictedInputMode,0.00053812267
sched_yield,0.0005219823
getgid32,0.00051806326
geteuid32,0.00047325518
getegid32,0.0004618833
futex,0.00043596825
getNeighboringCellInfo,0.00042758806
isActiveNetworkMetered,0.00039729077
fork,0.0003724601
getcwd,0.00037043737
umask,0.00036134294
setCallback,0.00030213434
setMode,0.00028426305
queryIntentReceivers,0.00024425192
isKeyguardLocked,0.00020190437
getString,5.5136225e-06
vibrate,0.0
vibratePattern,0.0
updateServiceLocation,0.0
startWifiDisplayScan,0.0
statusBarVisibilityChanged,0.0
stop,0.0
stopListening,0.0
getWifiApEnabledState,0.0
getWifiApConfiguration,0.0
getWidthHint,0.0
ALTER_PHONE_STATE___,0.0
getWifiDisplayStatus,0.0
getgroups32,0.0
getpeername,0.0
getresgid32,0.0
timer_create,0.0
timer_settime,0.0
vfork,0.0
truncate,0.0
stopUsingNetworkFeature,0.0
symlink,0.0
sync,0.0
sysinfo,0.0
getCurrentModeType,0.0
getCurrentInputMethodSubtype,0.0
getConfiguredNetworks,0.0
getClientDefaultLanguage,0.0
getVoiceMailAlphaTag,0.0
getVibrateSetting,0.0
getrusage,0.0
getresuid32,0.0
hasKeys,0.0
hasIccCard,0.0
hasClipboardText,0.0
hasNamedWallpaper,0.0
getWallpaperInfo,0.0
getDeviceList,0.0
getDeviceOwner,0.0
getDataActivity,0.0
isBluetoothA2dpOn,0.0
isBluetoothScoOn,0.0
isImsSmsSupported,0.0
getAllCellInfo,0.0
getAllPkgUsageStats,0.0
getAppWidgetIds,0.0
getAppWidgetInfo,0.0
getApplicationEnabledSetting,0.0
getAuthenticatorTypes,0.0
getBoolean,0.0
getCameraDisabled,0.0
isKeyguardSecure,0.0
hasVibrator,0.0
hasPrimaryClip,0.0
inotify_rm_watch,0.0
getWallpaper,0.0
isSyncActive,0.0
isScanAlwaysAvailable,0.0
isSafeMode,0.0
isPackageAvailable,0.0
finishSpellCheckerService,0.0
link,0.0
fstatfs64,0.0
isWakeLockLevelSupported,0.0
geocoderIsPresent,0.0
getActiveAdmins,0.0
mlock,0.0
mknod,0.0
mount,0.0
munlock,0.0
notifyAppWidgetViewDataChanged,0.0
lgetxattr,0.0
onChange,0.0
onClose,0.0
onGetSentenceSuggestionsMultiple,0.0
onFinished,0.0
onResult,0.0
partiallyUpdateAppWidgetIds,0.0
getRingtonePlayer,0.0
onRequestContinued,0.0
getSearchableInfo,0.0
getSearchablesInGlobalSearch,0.0
toggleSoftInput,0.0
updateAppWidgetProvider,0.0
unregisterMediaButtonIntent,0.0
unregisterRemoteControlClient,0.0
updateAppWidgetIds,0.0
FS_ACCESS(READ__WRITE)__,0.0
getTetheredIfaces,0.0
getSystemSharedLibraryNames,0.0
getSystemAvailableFeatures,0.0
getSyncAutomatically,0.0
getStorageEncryptionStatus,0.0
getState,0.0
getUsers,0.0
getUserData,0.0
playSoundEffect,0.0
playSoundEffectVolume,0.0
eventfd2,0.0
faccessat,0.0
fcntl,0.0
pingSupplicant,0.0
getUserRestrictions,0.0
getUserIcon,0.0
queryIntentContentProviders,0.0
reassociate,0.0
registerCallback,0.0
registerMediaButtonIntent,0.0
registerRemoteControlClient,0.0
registerSuggestionSpansForNotification,0.0
releaseMulticastLock,0.0
removeActiveAdmin,0.0
removeGpsStatusListener,0.0
removePrimaryClipChangedListener,0.0
removeStatusChangeListener,0.0
chown32,0.0
clock_getres,0.0
prepareVpn,0.0
pipe2,0.0
getUserSerialNumber,0.0
dataChanged,0.0
currentToCanonicalPackageNames,0.0
collapsePanels,0.0
deleteHost,0.0
requestScanFile,0.0
resolveService,0.0
endRestoreSession,0.0
displayCompletions,0.0
rt_sigprocmask,0.0
restorePackage,0.0
sched_setaffinity,0.0
rt_sigtimedwait,0.0
sched_setscheduler,0.0
sendExtraCommand,0.0
sendMultipartText,0.0
engineShown,0.0
setApplicationEnabledSetting,0.0
setDimensionHints,0.0
getHeightHint,0.0
setDiscoveryRequest,0.0
getMobileIfaces,0.0
getNameForUid,0.0
getNetworkPreference,0.0
getPackageGids,0.0
getPackageSizeInfo,0.0
getPackagesForUid,0.0
getPassword,0.0
getPermissionGroupInfo,0.0
getPreferredActivities,0.0
getPreferredPackages,0.0
queryContentProviders,0.0
play,0.0
getProviderProperties,0.0
getPrimaryClip,0.0
getProxy,0.0
setExtractedText,0.0
beginRestoreSession,0.0
cancelSync,0.0
setFlashlightEnabled,0.0
attachEngine,0.0
cancelVibrate,0.0
cancelToast,0.0
checkPackage,0.0
capset,0.0
setIconVisibility,0.0
setIsSyncable,0.0
setMetadata,0.0
setMobileDataEnabled,0.0
setNetworkPreference,0.0
setNightMode,0.0
setPlaybackState,0.0
setPlaybackStateForRcc,0.0
setPrimaryClip,0.0
setRadio,0.0
setSpeakerphoneOn,0.0
setSyncAutomatically,0.0
setTransportControlInfo,0.0
setWallpaper,0.0
setWallpaperPosition,0.0
setWifiApConfiguration,0.0
setWifiApEnabled,0.0
setgid32,0.0
setgroups32,0.0
setitimer,0.0
setresgid32,0.0
add,0.0
addAccountExplicitly,0.0
addPeriodicSync,0.0
addStatusChangeListener,0.0
addWithoutInputChannel,0.0
setresuid32,0.0
setrlimit,0.0
getInputMethodList,0.0
getInstallLocation,0.0
getInstalledProviders,0.0
getIsSyncable,0.0
getLastChosenActivity,0.0
getLastInputMethodSubtype,0.0
getLong,0.0
getMasterSyncAutomatically,0.0
getMessenger,0.0
getDhcpInfo,0.0
getEnabledInputMethodSubtypeList,0.0
getFlashlightEnabled,0.0
getGlobalSearchActivity,0.0
getGroupIdLevel1,0.0
setsid,0.0
setuid32,0.0
showSoftInput,0.0
showStrictModeViolation,0.0
sigsuspend,0.0
startBluetoothSco,0.0
FS_PIPE_ACCESS()___,0.0
NETWORK_ACCESS(READ)____,0.0
NETWORK_ACCESS(READ__WRITE__),0.0
startWatchingRoutes,0.0
